SPX,binance,SPXUSDT,exact
SP500,binance,SPXUSDT,alias
XYZ100,binance,,missing
GOLD,binance,XAUUSDT,alias
SILVER,binance,XAGUSDT,alias
CL,binance,CLUSDT,exact
BRENTOIL,binance,,missing
COPPER,binance,COPPERUSDT,exact
NATGAS,binance,NATGASUSDT,exact
PLATINUM,binance,XPTUSDT,alias
PALLADIUM,binance,XPDUSDT,alias
URANIUM,binance,,missing
ALUMINIUM,binance,,missing
TTF,binance,,missing
TSLA,binance,TSLAUSDT,exact
NVDA,binance,NVDAUSDT,exact
AAPL,binance,AAPLUSDT,exact
AMZN,binance,AMZNUSDT,exact
GOOGL,binance,GOOGLUSDT,exact
META,binance,METAUSDT,exact
MSFT,binance,MSFTUSDT,exact
AMD,binance,AMDUSDT,exact
ORCL,binance,ORCLUSDT,exact
NFLX,binance,,missing
PLTR,binance,PLTRUSDT,exact
COIN,binance,COINUSDT,exact
HOOD,binance,HOODUSDT,exact
INTC,binance,INTCUSDT,exact
MU,binance,MUUSDT,exact
MSTR,binance,MSTRUSDT,exact
BABA,binance,BABAUSDT,exact
LLY,binance,,missing
COST,binance,,missing
RIVN,binance,,missing
TSM,binance,TSMUSDT,exact
CRCL,binance,CRCLUSDT,exact
SNDK,binance,SNDKUSDT,exact
CRWV,binance,,missing
HIMS,binance,,missing
DKNG,binance,,missing
BX,binance,,missing
GME,binance,,missing
SMSN,binance,,missing
SOFTBANK,binance,,missing
HYUNDAI,binance,,missing
KIOXIA,binance,,missing
JP225,binance,,missing
KR200,binance,,missing
DXY,binance,,missing
VIX,binance,,missing
USAR,binance,USARUSDT,exact
URNM,binance,,missing
XLE,binance,,missing
EWY,binance,EWYUSDT,exact
EWJ,binance,EWJUSDT,exact
CORN,binance,,missing
WHEAT,binance,,missing
LITE,binance,LITEUSDT,exact
PURRDAT,binance,,missing
SKHX,binance,,missing
JPY,binance,,missing
EUR,binance,,missing
SPX,bybit,SPXUSDT,exact
SP500,bybit,SPXUSDT,alias
XYZ100,bybit,,missing
GOLD,bybit,XAUUSDT,alias
SILVER,bybit,XAGUSDT,alias
CL,bybit,CLUSDT,exact
BRENTOIL,bybit,,missing
COPPER,bybit,,missing
NATGAS,bybit,,missing
PLATINUM,bybit,,missing
PALLADIUM,bybit,,missing
URANIUM,bybit,,missing
ALUMINIUM,bybit,,missing
TTF,bybit,,missing
TSLA,bybit,TSLAUSDT,exact
NVDA,bybit,NVDAUSDT,exact
AAPL,bybit,AAPLUSDT,exact
AMZN,bybit,AMZNUSDT,exact
GOOGL,bybit,GOOGLUSDT,exact
META,bybit,METAUSDT,exact
MSFT,bybit,MSFTUSDT,exact
AMD,bybit,,missing
ORCL,bybit,ORCLUSDT,exact
NFLX,bybit,,missing
PLTR,bybit,PLTRUSDT,exact
COIN,bybit,COINUSDT,exact
HOOD,bybit,HOODUSDT,exact
INTC,bybit,INTCUSDT,exact
MU,bybit,MUUSDT,exact
MSTR,bybit,MSTRUSDT,exact
BABA,bybit,BABAUSDT,exact
LLY,bybit,LLYUSDT,exact
COST,bybit,,missing
RIVN,bybit,,missing
TSM,bybit,TSMUSDT,exact
CRCL,bybit,CRCLUSDT,exact
SNDK,bybit,SNDKUSDT,exact
CRWV,bybit,CRWVUSDT,exact
HIMS,bybit,,missing
DKNG,bybit,,missing
BX,bybit,,missing
GME,bybit,,missing
SMSN,bybit,,missing
SOFTBANK,bybit,,missing
HYUNDAI,bybit,,missing
KIOXIA,bybit,,missing
JP225,bybit,,missing
KR200,bybit,,missing
DXY,bybit,,missing
VIX,bybit,,missing
USAR,bybit,,missing
URNM,bybit,,missing
XLE,bybit,,missing
EWY,bybit,EWYUSDT,exact
EWJ,bybit,EWJUSDT,exact
CORN,bybit,,missing
WHEAT,bybit,,missing
LITE,bybit,LITEUSDT,exact
PURRDAT,bybit,,missing
SKHX,bybit,,missing
JPY,bybit,,missing
EUR,bybit,,missing
SPX,bitget,SPXUSDT,exact
